Latitude,Longitude,Anomaly
-87.5,2.5,-1.38
-87.5,7.5,-0.26
-87.5,12.5,-1.44
-87.5,17.5,-0.68
-87.5,22.5,-1.33
-87.5,27.5,-2.32
-87.5,32.5,-0.27
-87.5,37.5,-1.06
-87.5,42.5,-1.38
-87.5,47.5,-0.87
-87.5,52.5,-1.41
-87.5,57.5,-0.68
-87.5,62.5,-0.43
-87.5,67.5,-0.63
-87.5,72.5,0.02
-87.5,77.5,0.03
-87.5,82.5,-1.45
-87.5,87.5,0.32
-87.5,92.5,-0.37
-87.5,97.5,-1.14
-87.5,102.5,-0.86
-87.5,107.5,-0.57
-87.5,112.5,0.79
-87.5,117.5,-0.25
-87.5,122.5,-0.2
-87.5,127.5,-0.86
-87.5,132.5,-1.44
-87.5,137.5,-0.43
-87.5,142.5,-0.37
-87.5,147.5,-0.68
-87.5,152.5,-1.92
-87.5,157.5,-0.24
-87.5,162.5,-2.26
-87.5,167.5,-0.79
-87.5,172.5,0.06
-87.5,177.5,-0.33
-82.5,2.5,0.85
-82.5,7.5,-0.06
-82.5,12.5,0.21
-82.5,17.5,-0.13
-82.5,22.5,-0.21
-82.5,27.5,-0.43
-82.5,32.5,0.11
-82.5,37.5,-1.01
-82.5,42.5,-0.07
-82.5,47.5,-0.06
-82.5,52.5,-0.81
-82.5,57.5,-1.01
-82.5,62.5,-0.95
-82.5,67.5,-0.74
-82.5,72.5,-1.35
-82.5,77.5,-0.95
-82.5,82.5,-0.82
-82.5,87.5,-0.89
-82.5,92.5,-0.9
-82.5,97.5,0.29
-82.5,102.5,-0.28
-82.5,107.5,0.91
-82.5,112.5,0.56
-82.5,117.5,0.34
-82.5,122.5,0.42
-82.5,127.5,0.98
-82.5,132.5,-0.05
-82.5,137.5,-1.09
-82.5,142.5,-0.63
-82.5,147.5,-0.78
-82.5,152.5,-1.59
-82.5,157.5,-1.49
-82.5,162.5,-1.48
-82.5,167.5,-1.77
-82.5,172.5,-1.63
-82.5,177.5,-1.62
-77.5,2.5,0.56
-77.5,7.5,0.85
-77.5,12.5,0.04
-77.5,17.5,0.4
-77.5,22.5,0.37
-77.5,27.5,-0.1
-77.5,32.5,-0.11
-77.5,37.5,-0.2
-77.5,42.5,-0.22
-77.5,47.5,-0.47
-77.5,52.5,-0.03
-77.5,57.5,-0.05
-77.5,62.5,0.06
-77.5,67.5,0.32
-77.5,72.5,-0.86
-77.5,77.5,-1.12
-77.5,82.5,-1.14
-77.5,87.5,-1.99
-77.5,92.5,-2.56
-77.5,97.5,-2.37
-77.5,102.5,-1.99
-77.5,107.5,-1.44
-77.5,112.5,-0.02
-77.5,117.5,-1.03
-77.5,122.5,-0.45
-77.5,127.5,-0.86
-77.5,132.5,-0.08
-77.5,137.5,-0.42
-77.5,142.5,-1.49
-77.5,147.5,-1.74
-77.5,152.5,-1.71
-77.5,157.5,-2.19
-77.5,162.5,-2.03
-77.5,167.5,-2.66
-77.5,172.5,-1.59
-77.5,177.5,-1.38
-72.5,2.5,0.2
-72.5,7.5,-0.15
-72.5,12.5,-0.06
-72.5,17.5,0.11
-72.5,22.5,0.09
-72.5,27.5,0.48
-72.5,32.5,-0.09
-72.5,37.5,-0.07
-72.5,42.5,-0.57
-72.5,47.5,0.14
-72.5,52.5,0.28
-72.5,57.5,-0.03
-72.5,62.5,0.23
-72.5,67.5,-0.32
-72.5,72.5,-0.06
-72.5,77.5,-1.3
-72.5,82.5,-1.23
-72.5,87.5,-2.71
-72.5,92.5,-2.7
-72.5,97.5,-2.87
-72.5,102.5,-2.59
-72.5,107.5,-3.4
-72.5,112.5,-2.06
-72.5,117.5,-2.6
-72.5,122.5,-2.22
-72.5,127.5,-1.9
-72.5,132.5,-2.09
-72.5,137.5,-2.2
-72.5,142.5,-3.08
-72.5,147.5,-3.54
-72.5,152.5,-2.87
-72.5,157.5,-2.49
-72.5,162.5,-1.41
-72.5,167.5,-0.26
-72.5,172.5,0.13
-72.5,177.5,0.1
-67.5,2.5,0.04
-67.5,7.5,0.04
-67.5,12.5,0.01
-67.5,17.5,-0.05
-67.5,22.5,-0.1
-67.5,27.5,-0.15
-67.5,32.5,-0.19
-67.5,37.5,-0.08
-67.5,42.5,0.02
-67.5,47.5,-0.17
-67.5,52.5,0.06
-67.5,57.5,-0.26
-67.5,62.5,0.01
-67.5,67.5,-0.06
-67.5,72.5,0.18
-67.5,77.5,0.09
-67.5,82.5,-0.72
-67.5,87.5,-0.8
-67.5,92.5,-1.2
-67.5,97.5,-1.23
-67.5,102.5,-1.43
-67.5,107.5,-0.48
-67.5,112.5,-0.28
-67.5,117.5,0.17
-67.5,122.5,-0.55
-67.5,127.5,-0.62
-67.5,132.5,-1.09
-67.5,137.5,-1.42
-67.5,142.5,-1.16
-67.5,147.5,-0.7
-67.5,152.5,-0.33
-67.5,157.5,0.12
-67.5,162.5,0.03
-67.5,167.5,0.27
-67.5,172.5,0.27
-67.5,177.5,0.29
-62.5,2.5,0.23
-62.5,7.5,0.23
-62.5,12.5,0.16
-62.5,17.5,0.03
-62.5,22.5,-0.08
-62.5,27.5,-0.17
-62.5,32.5,-0.16
-62.5,37.5,-0.11
-62.5,42.5,-0.1
-62.5,47.5,-0.03
-62.5,52.5,0.02
-62.5,57.5,0.0
-62.5,62.5,-0.03
-62.5,67.5,-0.04
-62.5,72.5,0.01
-62.5,77.5,0.07
-62.5,82.5,0.1
-62.5,87.5,0.15
-62.5,92.5,0.17
-62.5,97.5,0.27
-62.5,102.5,0.25
-62.5,107.5,0.11
-62.5,112.5,0.01
-62.5,117.5,-0.11
-62.5,122.5,-0.26
-62.5,127.5,-0.48
-62.5,132.5,-0.72
-62.5,137.5,-0.88
-62.5,142.5,-0.96
-62.5,147.5,-0.79
-62.5,152.5,-0.53
-62.5,157.5,-0.31
-62.5,162.5,-0.22
-62.5,167.5,-0.15
-62.5,172.5,-0.13
-62.5,177.5,0.07
-57.5,2.5,0.53
-57.5,7.5,0.51
-57.5,12.5,0.45
-57.5,17.5,0.32
-57.5,22.5,0.18
-57.5,27.5,0.11
-57.5,32.5,0.12
-57.5,37.5,0.08
-57.5,42.5,-0.01
-57.5,47.5,-0.02
-57.5,52.5,-0.05
-57.5,57.5,-0.12
-57.5,62.5,-0.17
-57.5,67.5,-0.21
-57.5,72.5,-0.17
-57.5,77.5,-0.1
-57.5,82.5,-0.06
-57.5,87.5,-0.01
-57.5,92.5,0.02
-57.5,97.5,0.11
-57.5,102.5,0.25
-57.5,107.5,0.26
-57.5,112.5,0.19
-57.5,117.5,0.05
-57.5,122.5,-0.13
-57.5,127.5,-0.45
-57.5,132.5,-0.74
-57.5,137.5,-1.07
-57.5,142.5,-1.31
-57.5,147.5,-1.12
-57.5,152.5,-0.84
-57.5,157.5,-0.64
-57.5,162.5,-0.53
-57.5,167.5,-0.29
-57.5,172.5,-0.18
-57.5,177.5,-0.04
-52.5,2.5,0.9
-52.5,7.5,0.89
-52.5,12.5,0.78
-52.5,17.5,0.67
-52.5,22.5,0.6
-52.5,27.5,0.66
-52.5,32.5,0.63
-52.5,37.5,0.54
-52.5,42.5,0.38
-52.5,47.5,0.23
-52.5,52.5,0.11
-52.5,57.5,0.03
-52.5,62.5,-0.01
-52.5,67.5,-0.07
-52.5,72.5,-0.08
-52.5,77.5,0.06
-52.5,82.5,0.22
-52.5,87.5,0.31
-52.5,92.5,0.27
-52.5,97.5,0.3
-52.5,102.5,0.33
-52.5,107.5,0.34
-52.5,112.5,0.31
-52.5,117.5,0.25
-52.5,122.5,0.15
-52.5,127.5,-0.02
-52.5,132.5,-0.16
-52.5,137.5,-0.38
-52.5,142.5,-0.55
-52.5,147.5,-0.46
-52.5,152.5,-0.35
-52.5,157.5,-0.16
-52.5,162.5,-0.14
-52.5,167.5,0.03
-52.5,172.5,0.1
-52.5,177.5,0.14
-47.5,2.5,1.26
-47.5,7.5,1.32
-47.5,12.5,1.25
-47.5,17.5,1.26
-47.5,22.5,1.48
-47.5,27.5,1.58
-47.5,32.5,1.28
-47.5,37.5,1.04
-47.5,42.5,0.92
-47.5,47.5,0.65
-47.5,52.5,0.48
-47.5,57.5,0.43
-47.5,62.5,0.45
-47.5,67.5,0.24
-47.5,72.5,0.25
-47.5,77.5,0.41
-47.5,82.5,0.57
-47.5,87.5,0.65
-47.5,92.5,0.63
-47.5,97.5,0.51
-47.5,102.5,0.41
-47.5,107.5,0.37
-47.5,112.5,0.38
-47.5,117.5,0.37
-47.5,122.5,0.26
-47.5,127.5,0.14
-47.5,132.5,0.09
-47.5,137.5,0.19
-47.5,142.5,0.35
-47.5,147.5,0.35
-47.5,152.5,0.25
-47.5,157.5,0.26
-47.5,162.5,0.16
-47.5,167.5,0.18
-47.5,172.5,0.21
-47.5,177.5,0.25
-42.5,2.5,1.4
-42.5,7.5,1.55
-42.5,12.5,1.37
-42.5,17.5,1.64
-42.5,22.5,2.29
-42.5,27.5,2.05
-42.5,32.5,1.43
-42.5,37.5,1.13
-42.5,42.5,0.69
-42.5,47.5,0.46
-42.5,52.5,0.46
-42.5,57.5,0.44
-42.5,62.5,0.46
-42.5,67.5,0.25
-42.5,72.5,0.2
-42.5,77.5,0.2
-42.5,82.5,0.36
-42.5,87.5,0.5
-42.5,92.5,0.6
-42.5,97.5,0.61
-42.5,102.5,0.61
-42.5,107.5,0.6
-42.5,112.5,0.65
-42.5,117.5,0.58
-42.5,122.5,0.46
-42.5,127.5,0.35
-42.5,132.5,0.32
-42.5,137.5,0.45
-42.5,142.5,0.61
-42.5,147.5,0.76
-42.5,152.5,0.79
-42.5,157.5,0.59
-42.5,162.5,0.38
-42.5,167.5,0.27
-42.5,172.5,0.32
-42.5,177.5,0.43
-37.5,2.5,1.12
-37.5,7.5,1.19
-37.5,12.5,0.9
-37.5,17.5,0.76
-37.5,22.5,0.97
-37.5,27.5,0.9
-37.5,32.5,0.58
-37.5,37.5,0.35
-37.5,42.5,0.08
-37.5,47.5,-0.14
-37.5,52.5,-0.18
-37.5,57.5,-0.25
-37.5,62.5,-0.41
-37.5,67.5,-0.51
-37.5,72.5,-0.44
-37.5,77.5,-0.4
-37.5,82.5,-0.05
-37.5,87.5,0.23
-37.5,92.5,0.54
-37.5,97.5,0.8
-37.5,102.5,0.95
-37.5,107.5,0.89
-37.5,112.5,0.73
-37.5,117.5,0.59
-37.5,122.5,0.52
-37.5,127.5,0.48
-37.5,132.5,0.48
-37.5,137.5,0.4
-37.5,142.5,0.5
-37.5,147.5,1.0
-37.5,152.5,1.12
-37.5,157.5,0.86
-37.5,162.5,0.75
-37.5,167.5,0.64
-37.5,172.5,0.57
-37.5,177.5,0.97
-32.5,2.5,0.84
-32.5,7.5,0.78
-32.5,12.5,0.52
-32.5,17.5,0.22
-32.5,22.5,0.33
-32.5,27.5,0.39
-32.5,32.5,0.05
-32.5,37.5,-0.14
-32.5,42.5,-0.38
-32.5,47.5,-0.58
-32.5,52.5,-0.73
-32.5,57.5,-0.86
-32.5,62.5,-1.09
-32.5,67.5,-1.07
-32.5,72.5,-0.79
-32.5,77.5,-0.35
-32.5,82.5,0.07
-32.5,87.5,0.39
-32.5,92.5,0.79
-32.5,97.5,1.14
-32.5,102.5,1.19
-32.5,107.5,0.88
-32.5,112.5,0.36
-32.5,117.5,1.35
-32.5,122.5,1.25
-32.5,127.5,0.4
-32.5,132.5,0.24
-32.5,137.5,0.52
-32.5,142.5,0.67
-32.5,147.5,1.18
-32.5,152.5,1.18
-32.5,157.5,0.93
-32.5,162.5,0.83
-32.5,167.5,0.9
-32.5,172.5,0.94
-32.5,177.5,1.09
-27.5,2.5,0.94
-27.5,7.5,0.73
-27.5,12.5,0.68
-27.5,17.5,0.67
-27.5,22.5,1.95
-27.5,27.5,1.65
-27.5,32.5,0.16
-27.5,37.5,0.14
-27.5,42.5,-0.11
-27.5,47.5,-0.4
-27.5,52.5,-0.68
-27.5,57.5,-0.84
-27.5,62.5,-1.02
-27.5,67.5,-0.84
-27.5,72.5,-0.4
-27.5,77.5,0.15
-27.5,82.5,0.55
-27.5,87.5,0.8
-27.5,92.5,1.08
-27.5,97.5,1.24
-27.5,102.5,1.14
-27.5,107.5,0.72
-27.5,112.5,0.25
-27.5,117.5,2.41
-27.5,122.5,1.28
-27.5,127.5,1.87
-27.5,132.5,-0.42
-27.5,137.5,1.03
-27.5,142.5,1.04
-27.5,147.5,1.79
-27.5,152.5,1.41
-27.5,157.5,0.81
-27.5,162.5,0.77
-27.5,167.5,0.88
-27.5,172.5,0.9
-27.5,177.5,0.84
-22.5,2.5,1.15
-22.5,7.5,1.04
-22.5,12.5,1.08
-22.5,17.5,2.87
-22.5,22.5,2.53
-22.5,27.5,1.2
-22.5,32.5,1.89
-22.5,37.5,0.55
-22.5,42.5,0.58
-22.5,47.5,0.37
-22.5,52.5,-0.19
-22.5,57.5,-0.14
-22.5,62.5,-0.13
-22.5,67.5,0.19
-22.5,72.5,0.6
-22.5,77.5,1.0
-22.5,82.5,1.17
-22.5,87.5,1.25
-22.5,92.5,1.26
-22.5,97.5,1.16
-22.5,102.5,0.99
-22.5,107.5,0.62
-22.5,112.5,0.14
-22.5,117.5,2.06
-22.5,122.5,2.27
-22.5,127.5,1.53
-22.5,132.5,0.98
-22.5,137.5,-1.5
-22.5,142.5,-0.37
-22.5,147.5,0.73
-22.5,152.5,0.7
-22.5,157.5,0.73
-22.5,162.5,0.66
-22.5,167.5,0.61
-22.5,172.5,0.58
-22.5,177.5,0.43
-17.5,2.5,1.26
-17.5,7.5,1.23
-17.5,12.5,1.51
-17.5,17.5,2.56
-17.5,22.5,2.65
-17.5,27.5,2.53
-17.5,32.5,1.34
-17.5,37.5,0.7
-17.5,42.5,0.77
-17.5,47.5,0.32
-17.5,52.5,0.29
-17.5,57.5,0.44
-17.5,62.5,0.63
-17.5,67.5,0.99
-17.5,72.5,1.31
-17.5,77.5,1.35
-17.5,82.5,1.18
-17.5,87.5,1.05
-17.5,92.5,0.99
-17.5,97.5,0.95
-17.5,102.5,0.88
-17.5,107.5,0.61
-17.5,112.5,0.13
-17.5,117.5,-0.34
-17.5,122.5,0.45
-17.5,127.5,1.49
-17.5,132.5,-0.05
-17.5,137.5,-0.63
-17.5,142.5,-0.15
-17.5,147.5,0.6
-17.5,152.5,0.65
-17.5,157.5,0.6
-17.5,162.5,0.49
-17.5,167.5,0.44
-17.5,172.5,0.32
-17.5,177.5,0.29
-12.5,2.5,1.35
-12.5,7.5,1.14
-12.5,12.5,1.35
-12.5,17.5,0.75
-12.5,22.5,1.23
-12.5,27.5,1.41
-12.5,32.5,1.5
-12.5,37.5,0.8
-12.5,42.5,0.8
-12.5,47.5,0.79
-12.5,52.5,0.87
-12.5,57.5,0.93
-12.5,62.5,0.98
-12.5,67.5,1.11
-12.5,72.5,1.16
-12.5,77.5,1.02
-12.5,82.5,0.86
-12.5,87.5,0.84
-12.5,92.5,0.91
-12.5,97.5,0.83
-12.5,102.5,0.79
-12.5,107.5,0.72
-12.5,112.5,0.42
-12.5,117.5,0.2
-12.5,122.5,0.18
-12.5,127.5,0.18
-12.5,132.5,0.42
-12.5,137.5,0.51
-12.5,142.5,0.58
-12.5,147.5,0.59
-12.5,152.5,0.45
-12.5,157.5,0.39
-12.5,162.5,0.39
-12.5,167.5,0.38
-12.5,172.5,0.25
-12.5,177.5,0.33
-7.5,2.5,1.32
-7.5,7.5,1.11
-7.5,12.5,1.41
-7.5,17.5,1.2
-7.5,22.5,0.77
-7.5,27.5,0.81
-7.5,32.5,0.65
-7.5,37.5,0.89
-7.5,42.5,1.04
-7.5,47.5,1.07
-7.5,52.5,1.21
-7.5,57.5,1.26
-7.5,62.5,1.12
-7.5,67.5,0.99
-7.5,72.5,0.92
-7.5,77.5,0.86
-7.5,82.5,0.89
-7.5,87.5,1.02
-7.5,92.5,1.06
-7.5,97.5,0.96
-7.5,102.5,0.89
-7.5,107.5,0.8
-7.5,112.5,0.77
-7.5,117.5,0.65
-7.5,122.5,0.57
-7.5,127.5,0.51
-7.5,132.5,0.48
-7.5,137.5,0.54
-7.5,142.5,0.95
-7.5,147.5,0.63
-7.5,152.5,0.36
-7.5,157.5,0.42
-7.5,162.5,0.48
-7.5,167.5,0.49
-7.5,172.5,0.6
-7.5,177.5,0.72
-2.5,2.5,1.2
-2.5,7.5,1.07
-2.5,12.5,0.95
-2.5,17.5,1.24
-2.5,22.5,0.65
-2.5,27.5,0.76
-2.5,32.5,0.53
-2.5,37.5,0.83
-2.5,42.5,1.45
-2.5,47.5,1.56
-2.5,52.5,1.55
